m,sample_idx,m_norm,db_at_event,local_mean_db,local_std_db,pre_mean_db,post_mean_db,loss_dB,peak_above_bg_dB,pre_slope_dB_per_km,post_slope_dB_per_km,slope_change_dB_per_km,derivative_at_event_dB_per_km,max_pre_derivative,min_post_derivative,pre_std_db,post_std_db,post_to_pre_std_ratio,peak_width_m,local_range_db,file,source,event_no_in_file,gt_m,label
182.508,571,0.913742,-49.9,-37.6409,13.732,-37.9014,-35.093,-2.8084,18.137,-2416.5437,-2888.5206,-471.977,-0.0,42026.3187,-40769.5956,13.4955,13.3823,0.9916,0.0,29.421,class2_2026_04_27_15_53_51.csv,hard_negative,1,,background
184.741,578,0.924921,-21.317,-32.9091,12.2195,-38.105,-36.7377,-1.3673,29.421,3988.658,2242.7851,-1745.873,-35932.605,44800.9451,-44800.9451,13.2487,13.356,1.0081,0.957,29.421,class2_2026_04_27_15_53_51.csv,hard_negative,2,,background
186.017,582,0.93131,-27.332,-38.3552,13.0629,-38.05,-36.2552,-1.7948,29.342,2393.1618,1053.8403,-1339.3216,9245.9949,36692.7931,-45990.5972,13.3322,13.7845,1.0339,1.277,29.342,class2_2026_04_27_15_53_51.csv,hard_negative,3,,background
106.569,333,0.533547,-16.446,-16.7463,0.2357,-16.7897,-16.7883,-0.0014,0.421,-51.8865,-35.1565,16.73,289.9671,586.2085,-642.6274,0.2956,0.2401,0.8124,0.638,0.782,class2_2026_04_27_15_53_51.csv,stable_background,4,,background
52.646,164,0.263577,-14.639,-14.6331,0.0641,-14.6564,-14.5833,-0.0731,0.093,8.0612,-13.7035,-21.7647,-70.2416,200.627,-70.2416,0.098,0.0829,0.8457,0.0,0.241,class2_2026_04_27_15_53_51.csv,stable_background,5,,background
48.499,151,0.242814,-15.691,-15.4248,0.7276,-14.6458,-16.4941,1.8483,1.017,-14.3081,-175.3053,-160.9972,-1046.1869,285.2665,-1046.1869,0.1482,0.3321,2.2405,0.0,1.843,class2_2026_04_27_15_46_57.csv,manual_annotation,0,48.5,bend
131.457,411,0.65815,-17.519,-17.8316,2.3328,-12.9319,-30.8281,17.8962,3.795,-1435.5409,-2653.2361,-1217.6953,-2982.7586,-1843.3651,-4244.5141,3.1704,13.5723,4.281,0.0,7.615,class2_2026_04_27_15_46_57.csv,manual_annotation,1,131.46,break
127.628,399,0.63898,-7.988,-10.9044,2.9255,-15.9974,-15.4738,-0.5237,8.6705,1147.3412,-2674.3448,-3821.686,584.6395,9717.3248,-2708.4639,2.2661,4.1955,1.8514,2.871,9.187,class2_2026_04_27_15_46_57.csv,manual_annotation,2,127.63,connector
159.216,498,0.797128,-49.9,-40.8944,12.7708,-29.6836,-40.7891,11.1056,3.847,-1630.7822,-1371.8083,258.9739,-43769.5956,44526.6473,-43769.5956,12.584,12.9317,1.0276,0.0,28.408,class2_2026_04_27_15_46_57.csv,hard_negative,0,,background
192.399,602,0.963262,-49.9,-40.5031,13.292,-35.7869,-37.8677,2.0808,28.761,-1508.0845,142.3279,1650.4125,0.0,2263.9334,-2482.7586,14.1348,13.5404,0.9579,0.0,28.761,class2_2026_04_27_15_46_57.csv,hard_negative,1,,background
146.453,458,0.733229,-49.9,-38.261,13.0863,-35.264,-40.4181,5.1541,29.229,-686.8327,2759.1676,3446.0003,-36614.4216,36614.4216,-40858.9357,13.2833,13.438,1.0116,0.0,29.229,class2_2026_04_27_15_46_57.csv,hard_negative,2,,background
22.016,68,0.110225,-15.626,-15.0194,0.3975,-14.6483,-14.4815,-0.1668,-0.0025,-103.7011,110.7613,214.4624,909.0909,909.0909,112.8527,0.307,0.27,0.8795,0.0,1.269,class2_2026_04_27_15_46_57.csv,hard_negative,3,,background
66.685,208,0.333864,-16.591,-16.7873,0.374,-16.7421,-16.8729,0.1309,0.452,-44.8438,-59.0878,-14.244,-453.8208,1299.3746,-1061.1285,0.2853,0.3308,1.1597,0.0,1.155,class2_2026_04_27_15_46_57.csv,stable_background,4,,background
115.503,361,0.578275,-16.651,-16.9659,0.3139,-16.9567,-17.1273,0.1706,0.5165,-24.0116,-4.5706,19.441,25.0768,1597.1771,-749.2179,0.2604,0.2342,0.8991,0.638,1.019,class2_2026_04_27_15_46_57.csv,stable_background,5,,background
109.441,342,0.547926,-16.352,-15.8391,0.7986,-14.7989,-16.9049,2.106,0.9275,-89.9604,-156.9583,-66.9979,-503.1348,-65.1892,-2006.2696,0.2254,0.4131,1.8328,0.0,2.368,class2_2026_04_27_15_22_54.csv,manual_annotation,0,109.44,bend
131.138,410,0.656553,-16.633,-16.7369,1.8905,-12.9927,-35.1169,22.1242,3.9775,-646.435,-8089.1785,-7442.7435,-1784.549,-1784.549,-2847.9655,3.2199,14.8591,4.6147,0.0,5.817,class2_2026_04_27_15_22_54.csv,manual_annotation,1,131.14,break
127.628,399,0.63898,-8.024,-10.9418,2.9327,-16.0554,-15.5485,-0.5069,8.728,1180.813,-2524.1355,-3704.9485,521.9436,9805.6426,-2692.79,2.2833,4.4116,1.9321,2.871,9.07,class2_2026_04_27_15_22_54.csv,manual_annotation,2,127.63,connector
140.071,438,0.701277,-21.986,-37.428,13.969,-40.3913,-39.4721,-0.9192,30.058,-86.4602,-1316.4241,-1229.964,43419.8902,43752.3542,-43818.3066,13.4804,13.1272,0.9738,0.958,30.058,class2_2026_04_27_15_22_54.csv,hard_negative,0,,background
170.383,533,0.853037,-49.9,-34.8754,13.4851,-31.4291,-33.2651,1.836,2.461,4001.3882,-233.6875,-4235.0757,-7084.6411,1595.6113,-41992.1677,13.0956,13.3536,1.0197,0.0,28.939,class2_2026_04_27_15_22_54.csv,hard_negative,1,,background
173.893,544,0.87061,-21.121,-34.6399,13.7336,-33.1209,-36.2666,3.1456,3.9975,-1348.4965,-2095.5719,-747.0754,-1995.2994,45108.1536,-42611.2868,13.4239,13.6912,1.0199,0.957,29.289,class2_2026_04_27_15_22_54.csv,hard_negative,2,,background
149.644,468,0.749205,-20.148,-34.1162,14.1728,-39.5833,-29.5058,-10.0774,4.5155,754.8897,4354.4006,3599.511,1996.2839,46693.0819,-46633.2304,12.9728,12.6909,0.9783,1.277,29.752,class2_2026_04_27_15_22_54.csv,hard_negative,3,,background
67.324,210,0.337063,-14.708,-14.6747,0.0915,-14.6853,-14.6726,-0.0127,0.127,-33.2943,22.1116,55.4059,258.6207,258.6207,-274.2947,0.114,0.1001,0.8786,0.0,0.281,class2_2026_04_27_15_22_54.csv,stable_background,4,,background
14.996,46,0.075079,-14.364,-14.4363,0.0844,-14.2896,-14.4919,0.2024,0.1325,-46.4097,3.7288,50.1386,-404.3887,133.2288,-404.3887,0.1382,0.0775,0.5604,0.0,0.258,class2_2026_04_27_15_22_54.csv,stable_background,5,,background
127.628,399,0.63898,-5.943,-8.8526,2.9263,-13.9783,-13.5824,-0.3959,8.8475,1163.7257,-2702.2292,-3865.9549,573.6677,9640.9008,-2741.3793,2.2686,4.5122,1.989,2.871,9.097,class1_2026_04_27_14_37_39.csv,manual_annotation,0,127.63,connector
132.414,414,0.662942,-19.387,-21.4482,10.2791,-11.0659,-35.6418,24.5759,3.2315,-2562.5442,-4528.6946,-1966.1504,-2606.5831,-2291.5361,-44380.8824,3.4643,14.2941,4.1262,0.0,35.227,class1_2026_04_27_14_37_39.csv,manual_annotation,1,132.41,break
169.426,530,0.848245,-22.287,-30.803,13.534,-32.973,-37.5346,4.5616,5.891,918.7599,-1636.6757,-2555.4356,-43589.3448,47894.9875,-43589.3448,13.5983,13.8494,1.0185,1.276,30.557,class1_2026_04_27_14_37_39.csv,hard_negative,0,,background
163.683,512,0.819493,-49.9,-37.4996,13.9619,-36.6824,-31.4389,-5.2435,5.5235,2005.5416,-183.9137,-2189.4552,-9738.2476,46633.162,-37114.4216,13.4516,13.1524,0.9778,0.0,29.892,class1_2026_04_27_14_37_39.csv,hard_negative,1,,background
158.577,496,0.793929,-49.9,-37.5624,13.8081,-34.5356,-36.9785,2.4429,8.384,2627.9822,2005.5416,-622.4406,-45538.2413,1195.9263,-45538.2413,13.7903,13.1562,0.954,0.0,29.008,class1_2026_04_27_14_37_39.csv,hard_negative,2,,background
145.815,456,0.730035,-49.9,-40.6176,13.147,-36.1907,-42.5394,6.3487,29.39,892.2512,609.7665,-282.4847,41286.837,41286.837,-41286.837,13.7346,11.9438,0.8696,0.0,29.39,class1_2026_04_27_14_37_39.csv,stable_background,3,,background
35.417,110,0.177318,-9.398,-11.4871,2.0165,-14.2605,-14.2608,0.0003,5.4385,387.656,-1801.8583,-2189.5143,2727.2727,6114.4201,-2446.7085,0.8819,2.6161,2.9664,2.233,5.482,class3_2026_04_27_16_17_30.csv,manual_annotation,0,35.42,connector
37.969,118,0.190095,-14.285,-14.0284,1.5744,-12.7373,-16.7335,3.9962,3.431,681.2663,-462.6346,-1143.9009,-1601.8809,-1601.8809,-1893.4169,1.9941,0.7512,0.3767,0.0,4.677,class3_2026_04_27_16_17_30.csv,manual_annotation,1,37.97,bend
130.818,409,0.654951,-17.019,-17.3558,2.6943,-13.7461,-36.9449,23.1988,4.619,16.9643,-4339.0509,-4356.0152,-3132.2462,-2062.6959,-46658.3103,3.1246,14.519,4.6467,0.0,8.638,class3_2026_04_27_16_17_30.csv,manual_annotation,2,130.82,break
127.947,400,0.640577,-9.229,-11.1578,1.9576,-16.0607,-23.4987,7.438,8.274,1561.2761,-6955.8056,-8517.0817,-1993.7304,9289.9687,-3304.0752,2.766,14.5118,5.2465,2.871,6.672,class3_2026_04_27_16_17_30.csv,manual_annotation,3,127.95,connector
171.659,537,0.859425,-49.9,-34.2119,14.0401,-33.1831,-32.6647,-0.5183,2.562,2309.3746,131.1234,-2178.2511,-43811.9154,43811.9154,-44830.8679,13.4547,13.8047,1.026,0.0,29.12,class3_2026_04_27_16_17_30.csv,hard_negative,0,,background
179.317,561,0.897766,-23.371,-28.7923,11.4008,-30.0006,-38.739,8.7384,5.12,3370.6484,660.4462,-2710.2022,-38326.0219,7103.4514,-44827.5909,12.4505,13.9972,1.1242,0.0,30.19,class3_2026_04_27_16_17_30.csv,hard_negative,1,,background
22.016,68,0.110225,-15.292,-14.9606,0.3421,-14.6308,-14.4693,-0.1615,0.146,-109.7027,113.245,222.9477,112.8527,112.8527,112.8527,0.2582,0.2952,1.1436,0.0,1.103,class3_2026_04_27_16_17_30.csv,hard_negative,2,,background
157.301,492,0.787541,-19.454,-31.2274,13.3102,-34.8875,-38.0079,3.1204,18.463,3580.9113,-1686.2194,-5267.1307,37564.2665,37564.2665,-44059.5627,13.4964,13.3364,0.9881,1.276,30.446,class3_2026_04_27_16_17_30.csv,hard_negative,3,,background
178.36,558,0.892974,-23.832,-28.9619,11.2986,-31.3204,-35.8597,4.5393,4.113,1555.4923,-1888.7621,-3444.2544,7103.4514,42273.778,-38326.0219,13.2092,14.0881,1.0665,0.0,30.19,class3_2026_04_27_16_17_30.csv,hard_negative,4,,background
168.15,526,0.841857,-49.9,-35.25,13.291,-36.5361,-31.4997,-5.0364,5.1545,3160.166,-1642.5595,-4802.7255,1838.0549,44670.8495,-46227.2759,13.5425,13.17,0.9725,0.0,29.493,class3_2026_04_27_16_17_30.csv,hard_negative,5,,background
66.047,206,0.33067,-17.391,-17.4063,0.3001,-17.3292,-17.3652,0.036,0.379,-128.5935,25.7111,154.3046,-293.105,978.0533,-771.1614,0.3896,0.2438,0.6257,0.0,1.063,class3_2026_04_27_16_17_30.csv,stable_background,6,,background
78.81,246,0.394569,-17.537,-17.4206,0.4399,-17.4363,-17.5673,0.131,0.7255,12.3302,59.1619,46.8317,-1791.5392,537.6144,-1791.5392,0.3719,0.3304,0.8884,0.0,1.66,class3_2026_04_27_16_17_30.csv,stable_background,7,,background
47.86,149,0.239615,-15.168,-15.4619,0.7685,-14.6401,-16.6352,1.9952,0.941,-64.7754,-193.2085,-128.4331,-805.6426,512.5392,-1748.6842,0.1625,0.3768,2.3183,0.0,2.315,class2_2026_04_27_15_46_27.csv,manual_annotation,0,47.86,bend
131.138,410,0.656553,-16.726,-17.3137,2.8352,-13.1185,-27.4653,14.3468,4.2755,-458.7497,-1161.8784,-703.1287,-2816.4116,-1963.9498,-5730.4075,3.2071,12.0738,3.7648,0.0,8.608,class2_2026_04_27_15_46_27.csv,manual_annotation,1,131.14,break
