m,sample_idx,m_norm,db_at_event,local_mean_db,local_std_db,pre_mean_db,post_mean_db,loss_dB,peak_above_bg_dB,pre_slope_dB_per_km,post_slope_dB_per_km,slope_change_dB_per_km,derivative_at_event_dB_per_km,max_pre_derivative,min_post_derivative,pre_std_db,post_std_db,post_to_pre_std_ratio,peak_width_m,local_range_db,file,event_no_in_file,gt_m,label,expected_length_m
132.095,413,0.661345,-18.308,-20.611,10.5186,-10.9225,-26.8303,15.9078,3.1155,-2476.4813,-1610.8685,865.6127,-1572.1003,-1572.1003,-48065.8354,3.3475,10.6209,3.1728,0.0,35.93,class1_2026_04_27_14_48_32.csv,0,132.09,break,199.737
127.628,399,0.63898,-5.873,-8.7701,2.8841,-13.9058,-15.1294,1.2236,8.8875,1139.8956,-2693.4945,-3833.3901,611.2853,9663.0094,-2708.4639,2.2582,9.3685,4.1487,2.871,8.897,class1_2026_04_27_14_48_32.csv,1,127.63,connector,199.737
44.032,137,0.22045,-15.609,-15.6933,0.8808,-14.6367,-16.7654,2.1287,1.3285,-71.3353,-99.2006,-27.8652,-920.0627,-263.3229,-1343.2571,0.2419,0.3055,1.263,0.0,2.574,class2_2026_04_27_15_42_28.csv,0,44.03,bend,199.737
127.309,398,0.637383,-9.001,-11.7736,3.4105,-16.7231,-17.0062,0.2832,8.6935,575.102,-2702.8618,-3277.9638,4661.442,9874.6082,-2556.4263,1.4477,9.3884,6.4852,2.871,8.963,class2_2026_04_27_15_42_28.csv,1,127.31,connector,199.737
131.776,412,0.659748,-19.566,-22.8227,10.2057,-13.1381,-38.2152,25.0772,3.5305,-2065.9853,-5177.9196,-3111.9344,-4081.5047,-1455.7669,-46540.7539,3.1604,13.2064,4.1787,0.0,34.588,class2_2026_04_27_15_42_28.csv,2,131.78,break,199.737
44.67,139,0.223644,-15.711,-15.8637,0.8867,-14.7036,-16.9372,2.2336,1.3025,-82.5522,-63.6601,18.8921,-1774.2947,-283.1438,-1774.2947,0.233,0.2769,1.1887,0.0,2.283,class2_2026_04_27_15_43_11.csv,0,44.67,bend,199.737
131.457,411,0.65815,-17.861,-18.3396,2.4087,-13.3049,-30.5707,17.2658,3.1095,-1400.6236,-2687.1031,-1286.4795,-3087.7727,-1926.3599,-44145.7696,3.1304,13.7317,4.3866,0.0,7.041,class2_2026_04_27_15_43_11.csv,1,131.46,break,199.737
127.628,399,0.63898,-8.4,-11.2556,2.8054,-16.3702,-19.1232,2.7531,8.6895,1146.1387,-2781.3349,-3927.4736,594.0439,10017.2414,-2815.047,2.2465,11.5396,5.1366,2.871,8.394,class2_2026_04_27_15_43_11.csv,2,127.63,connector,199.737
64.452,201,0.322684,-15.315,-15.3697,0.5457,-14.6202,-16.2677,1.6475,0.911,-88.5535,-95.21,-6.6565,-642.6332,-64.2633,-927.8997,0.1831,0.2629,1.436,0.0,1.524,class2_2026_04_27_15_54_38.csv,0,64.45,bend,199.737
127.628,399,0.63898,-7.698,-10.6198,2.8988,-15.7674,-16.8808,1.1134,8.913,1115.96,-2571.6938,-3687.6538,608.1505,9628.5266,-2764.8903,2.2702,9.0574,3.9898,2.871,8.99,class2_2026_04_27_15_54_38.csv,1,127.63,connector,199.737
131.776,412,0.659748,-18.735,-21.1819,10.263,-12.6695,-30.9752,18.3057,2.6635,-2085.5925,-2640.8962,-555.3036,-1308.7759,-1308.7759,-47615.9906,3.1988,13.4925,4.218,0.0,34.889,class2_2026_04_27_15_54_38.csv,2,131.78,break,199.737
15.634,48,0.078273,-14.664,-14.8656,0.5708,-14.3012,-16.1492,1.8479,0.29,-48.718,-299.2373,-250.5193,-401.2539,-111.2853,-1491.2409,0.1204,0.5888,4.8911,0.0,1.626,class2_2026_04_27_16_02_47.csv,0,15.63,bend,199.737
127.628,399,0.63898,-8.061,-10.9958,2.9676,-16.0117,-15.4378,-0.5738,8.731,1119.4349,-2675.5059,-3794.9408,556.4263,10028.8172,-2774.2947,2.2509,4.0944,1.819,2.871,9.33,class2_2026_04_27_16_02_47.csv,1,127.63,connector,199.737
131.457,411,0.65815,-18.246,-17.6633,2.0893,-12.9906,-31.8508,18.8603,3.585,-1425.4178,-5942.7884,-4517.3706,-2061.1301,-2061.1301,-4539.1834,3.1614,14.4277,4.5637,0.0,6.969,class2_2026_04_27_16_02_47.csv,2,131.46,break,199.737
103.059,322,0.515974,-16.302,-15.942,0.8691,-14.7998,-17.193,2.3932,1.593,-116.1576,-225.4035,-109.246,-263.3229,-263.3229,-1180.2508,0.3227,0.3996,1.2383,0.0,2.781,class2_2026_04_27_15_26_28.csv,0,103.06,bend,199.737
127.628,399,0.63898,-8.324,-11.1832,2.8521,-16.3727,-17.3987,1.026,8.6915,1201.0274,-2925.9748,-4127.0022,710.0313,9967.0846,-2789.9687,2.2811,8.9137,3.9076,2.871,8.579,class2_2026_04_27_15_26_28.csv,1,127.63,connector,199.737
131.138,410,0.656553,-17.247,-17.5436,2.9524,-13.2179,-28.8979,15.68,4.0965,-612.9906,-6256.0226,-5643.032,-2759.1556,-1934.1693,-8485.8918,3.1511,13.119,4.1633,0.0,10.386,class2_2026_04_27_15_26_28.csv,2,131.14,break,199.737
56.794,177,0.284344,-15.279,-15.3933,0.7404,-14.6336,-16.6686,2.0349,0.817,-9.4963,-183.9166,-174.4203,-1570.5329,86.2069,-1570.5329,0.1285,0.3826,2.9779,0.0,1.915,class2_2026_04_27_15_49_56.csv,0,56.79,bend,199.737
